WORD                           | IPA
зидаро-мазач                   | zidˈaromˈazɐt͡ʃˈɤ
зидаро-мазачески               | zidˈaromɐzat͡ʃˈeski
златисто-сребрист              | zɫˈatistˈosrˈebristotˈinki
златисто-черен                 | zɫˈatistˈot͡ʃerˈen
златно-валутен                 | zɫˈatnˈovˈaɫutˈen
златно-син                     | zɫˈatnˈosˈin
златно-сребърен                | zɫˈatnˈosrˈebˈɤren
зор-заман                      | zˈorzˈamɐn
зрително-слухов                | zrˈitˈeɫnosɫˈuxˈof
иберо-американски              | ibˈeroɐmerˈikɐnskˈi
идейно-възпитателен            | ˈidejnˈovɤspˈitɐtˈelen
идейно-политически             | ˈidejnˈopolˈitit͡ʃˈeski
идейно-теоретичен              | ˈidejnˈoteorˈetit͡ʃˈen
идейно-философски              | ˈidejnˈofiɫˈosofskˈi
идейно-художествен             | ˈidejnˈoxˈudoʒˈestven
израело-американски            | izraˈeɫoɐmerˈikɐnskˈi
израело-арабски                | izraˈeɫoˈarɐpskˈi
израело-палестински            | izraˈeɫopalˈestinskˈi
израелско-арабски              | izrˈaeɫskˈoˈarɐpskˈi
израелско-палестински          | izrˈaeɫskˈopalˈestinskˈi
изток-североизток              | istˈokseverˈoistˈok
изток-югоизток                 | istˈokjuɡoistˈok
икономико-политически          | ikonomˈikopolˈitit͡ʃˈeski
иланг-иланг                    | ˈiɫanɡˈiɫɐnk
илинденско-преображенски       | ilindˈenskopreobraʒˈenski
имотно-материален              | ˈimotnˈomɐterˈiɐlˈen
инвестиционно-строителен       | investit͡sˈionnˈostrˈoitˈelen
индийско-пакистански           | ˈindijskˈopɐkistˈanski
индустриално-аграрен           | industrˈiɐɫnˈoˈaɡrɐrˈen
индустриално-търговски         | industrˈiɐɫnˈotˈɤrɡofskˈi
инженер-агроном                | inʒˈenerˈɤaɡrˈonomˈɤ
инженер-агрономче              | inʒˈenerˈɤɐɡronˈomt͡ʃe
инженер-геолог                 | inʒˈenerˈɤɡeˈoɫok
инженер-консултант             | inʒˈenerˈɤkonsˈuɫtɐnɤtˈɤ
инженер-консултантче           | inʒˈenerˈɤkonsuɫtˈantt͡ʃe
инженер-металург               | inʒˈenerˈɤmetˈaɫurɤɡˈɤ
инженер-механик                | inʒˈenerˈɤmˈexɐnˈik
инженер-оператор               | inʒˈenerˈɤopˈerɐtˈor
инженер-операторче             | inʒˈenerˈɤoperatˈort͡ʃe
инженер-технолог               | inʒˈenerˈɤtexnˈoɫok
инженер-химик                  | inʒˈenerˈɤçˈimikˈɤ
инженерно-педагогически        | inʒˈenernˈopedaɡˈoɡit͡ʃˈeski
инженерно-сапьорен             | inʒˈenernˈosapjˈoren
инженерно-сапьорски            | inʒˈenernˈosˈapjorskˈi
инженерно-строителен           | inʒˈenernˈostrˈoitˈelen
инженерно-технически           | inʒˈenernˈotˈexnit͡ʃˈeski
интелектуално-поетичен         | intelektˈuɐɫnˈopoˈetit͡ʃˈen
информационно-аналитичен       | informat͡sˈionnˈoɐnalˈitit͡ʃˈen
информационно-консултантски    | informat͡sˈionnˈokonsˈuɫtɐnˈɤt͡skˈi
информационно-развлекателен    | informat͡sˈionnˈorazvlˈekɐtˈelen
информационно-рекламен         | informat͡sˈionnˈorˈekɫɐmˈen
иракско-ирански                | ˈirɐkskˈoˈirɐnskˈi
иракско-сирийски               | ˈirɐkskˈosˈirijskˈi
иракско-турски                 | ˈirɐkskˈotˈurskˈi
ирано-иракски                  | irˈanoˈirɐkskˈi
ирландско-американски          | ˈirɫɐnˈɤt͡skˈoɐmerˈikɐnskˈi
ирландско-английски            | ˈirɫɐnˈɤt͡skˈoˈanɡlijskˈi
ирландско-белгийски            | ˈirɫɐnˈɤt͡skˈobˈeɫɡijskˈi
иронично-хумористичен          | irˈonit͡ʃnˈoxumorˈistit͡ʃˈen
испано-американски             | ispˈanoɐmerˈikɐnskˈi
испанско-американски           | ˈispɐnskˈoɐmerˈikɐnskˈi
испанско-италиански            | ˈispɐnskˈoitalˈiɐnskˈi
историко-археологически        | istorˈikoɐrxeoɫoɡˈit͡ʃeski
историко-географски            | istorˈikoɡeˈoɡrɐfskˈi
историко-политически           | istorˈikopolˈitit͡ʃˈeski
историко-революционен          | istorˈikorevolut͡sˈionˈen
историко-сравнителен           | istorˈikosrˈavnitˈelen
историко-филологически         | istorˈikofiɫoɫˈoɡit͡ʃˈeski
историко-философски            | istorˈikofiɫˈosofskˈi
италиано-български             | itɐliˈanobɤɫɡˈarski
италианско-американски         | italˈiɐnskˈoɐmerˈikɐnskˈi
италианско-български           | italˈiɐnskˈobɤɫɡˈarski
как-годе                       | kˈaɡɡˈodˈe
какъв-годе                     | kˈakɤvɡˈodˈe
каменно-меден                  | kˈamˈennomˈedˈen
канадско-американски           | kˈanɐt͡skˈoɐmerˈikɐnskˈi
кандидат-агент                 | kandˈidɐtˈɤˈaɡenɤtˈɤ
кандидат-агроном               | kandˈidɐtˈɤaɡrˈonomˈɤ
кандидат-агрономче             | kandˈidɐtˈɤɐɡronˈomt͡ʃe
кандидат-актриса               | kandˈidɐtˈɤˈaktrisɐ
кандидат-актьор                | kandˈidɐtˈɤˈaktjorˈɤ
кандидат-актьорче              | kandˈidɐtˈɤaktjˈort͡ʃe
кандидат-богаташ               | kandˈidɐtˈɤboɡˈatɐʃˈɤ
кандидат-булка                 | kandˈidɐtˈɤbˈuɫkˈa
кандидат-бунтовник             | kandˈidɐtˈɤbˈuntovnˈik
кандидат-висшист               | kandˈidɐtˈɤvˈisʃistotˈinki
кандидат-висшистче             | kandˈidɐtˈɤvisʃˈistt͡ʃe
кандидат-вицепрезидент         | kandˈidɐtˈɤvit͡seprezˈidenɤtˈɤ
кандидат-вицепрезидентка       | kandˈidɐtˈɤvit͡seprezidˈentkɐ
кандидат-вицепрезидентче       | kandˈidɐtˈɤvit͡seprezidˈentt͡ʃe
кандидат-водач                 | kandˈidɐtˈɤvˈodɐt͡ʃˈɤ
кандидат-водолаз               | kandˈidɐtˈɤvodˈoɫɐzˈɤ
кандидат-водолазче             | kandˈidɐtˈɤvodoɫˈast͡ʃe
кандидат-войник                | kandˈidɐtˈɤvˈojnikˈɤ
кандидат-гадже                 | kandˈidɐtˈɤɡˈad͡ʒˈe
кандидат-герой                 | kandˈidɐtˈɤɡˈeroi
кандидат-гимназист             | kandˈidɐtˈɤɡimnˈazistotˈinki
кандидат-гимназистка           | kandˈidɐtˈɤɡimnˈazistkˈa
кандидат-гимназистче           | kandˈidɐtˈɤɡimnazˈistt͡ʃe
кандидат-годеница              | kandˈidɐtˈɤɡodˈenit͡sˈa
кандидат-готвач                | kandˈidɐtˈɤɡˈotvɐt͡ʃˈɤ
кандидат-готвачка              | kandˈidɐtˈɤɡotvˈat͡ʃkɐ
кандидат-градоначалник         | kandˈidɐtˈɤɡrɐdonat͡ʃˈaɫnik
кандидат-губернатор            | kandˈidɐtˈɤɡubˈernɐtˈor
кандидат-губернаторче          | kandˈidɐtˈɤɡubernatˈort͡ʃe
кандидат-гувернантка           | kandˈidɐtˈɤɡuvernˈantkɐ
кандидат-гурбетчийка           | kandˈidɐtˈɤɡurbett͡ʃˈijkɐ
кандидат-гурбетчия             | kandˈidɐtˈɤɡurbˈett͡ʃijˈa
кандидат-демократ              | kandˈidɐtˈɤdemˈokrɐtˈɤ
кандидат-демократче            | kandˈidɐtˈɤdemokrˈatt͡ʃe
кандидат-депутат               | kandˈidɐtˈɤdepˈutɐtˈɤ
кандидат-депутатка             | kandˈidɐtˈɤdeputˈatkɐ
кандидат-депутатче             | kandˈidɐtˈɤdeputˈatt͡ʃe
кандидат-диктаторче            | kandˈidɐtˈɤdiktatˈort͡ʃe
кандидат-дипломат              | kandˈidɐtˈɤdipɫˈomɐtˈɤ
кандидат-дипломатче            | kandˈidɐtˈɤdipɫomˈatt͡ʃe
кандидат-директор              | kandˈidɐtˈɤdˈirektˈor
кандидат-директорче            | kandˈidɐtˈɤdirektˈort͡ʃe
кандидат-дистрибутор           | kandˈidɐtˈɤdistrˈibutˈor
кандидат-дистрибуторче         | kandˈidɐtˈɤdistributˈort͡ʃe
кандидат-доктор                | kandˈidɐtˈɤdoktˈor
кандидат-докторче              | kandˈidɐtˈɤdoktˈort͡ʃe
кандидат-донор                 | kandˈidɐtˈɤdˈonor
кандидат-донорче               | kandˈidɐtˈɤdonˈort͡ʃe
кандидат-държавник             | kandˈidɐtˈɤdˈɤrʒɐvnˈik
кандидат-евродепутат           | kandˈidɐtˈɤevrodepˈutɐt
кандидат-евродепутатче         | kandˈidɐtˈɤevrodeputˈatt͡ʃe
кандидат-еврокомисар           | kandˈidɐtˈɤevrokomisˈar
кандидат-европеец              | kandˈidɐtˈɤevropˈeet͡s
кандидат-емигрант              | kandˈidɐtˈɤemˈiɡrɐnɤtˈɤ
кандидат-емигрантче            | kandˈidɐtˈɤemiɡrˈantt͡ʃe
кандидат-жених                 | kandˈidɐtˈɤʒˈenixˈɤ
кандидат-журналист             | kandˈidɐtˈɤʒurnˈalistotˈinki
кандидат-журналистче           | kandˈidɐtˈɤʒurnalˈistt͡ʃe
кандидат-звезда                | kandˈidɐtˈɤzvˈezdɐ
кандидат-зет                   | kandˈidɐtˈɤzˈet
кандидат-идол                  | kandˈidɐtˈɤidˈoɫ
кандидат-идолче                | kandˈidɐtˈɤidˈoɫt͡ʃe
кандидат-избраник              | kandˈidɐtˈɤˈizbrɐnˈik
кандидат-икономист             | kandˈidɐtˈɤikonˈomistotˈinki
кандидат-икономистче           | kandˈidɐtˈɤikonomˈistt͡ʃe
кандидат-имигрант              | kandˈidɐtˈɤimˈiɡrɐnɤtˈɤ
кандидат-имигрантче            | kandˈidɐtˈɤimiɡrˈantt͡ʃe
кандидат-инвеститор            | kandˈidɐtˈɤinvˈestitˈor
кандидат-инвеститорче          | kandˈidɐtˈɤinvestitˈort͡ʃe
кандидат-канцлер               | kandˈidɐtˈɤkˈant͡slˈer
кандидат-канцлерка             | kandˈidɐtˈɤkant͡slˈerkɐ
кандидат-канцлерче             | kandˈidɐtˈɤkant͡slˈert͡ʃe
кандидат-клиент                | kandˈidɐtˈɤklˈienɤtˈɤ
кандидат-клиентче              | kandˈidɐtˈɤkliˈentt͡ʃe
кандидат-кмет                  | kandˈidɐtˈɤkmˈet
кандидат-кметица               | kandˈidɐtˈɤkmˈetit͡sˈa
кандидат-колежанин             | kandˈidɐtˈɤkolˈeʒɐnˈin
кандидат-комисар               | kandˈidɐtˈɤkomisˈar
кандидат-комисарка             | kandˈidɐtˈɤkomisˈarkɐ
кандидат-консултант            | kandˈidɐtˈɤkonsˈuɫtɐnɤtˈɤ
кандидат-консултантче          | kandˈidɐtˈɤkonsuɫtˈantt͡ʃe
кандидат-концесионер           | kandˈidɐtˈɤkont͡sesiˈonerˈɤ
кандидат-концесионерче         | kandˈidɐtˈɤkont͡sesionˈert͡ʃe
кандидат-купувач               | kandˈidɐtˈɤkupˈuvɐt͡ʃˈɤ
кандидат-курсант               | kandˈidɐtˈɤkˈursɐnɤtˈɤ
кандидат-курсантче             | kandˈidɐtˈɤkursˈantt͡ʃe
кандидат-лекар                 | kandˈidɐtˈɤlˈekˈar
кандидат-лидер                 | kandˈidɐtˈɤlidˈer
кандидат-лидерче               | kandˈidɐtˈɤlidˈert͡ʃe
кандидат-ловджия               | kandˈidɐtˈɤɫˈovd͡ʒijˈa
кандидат-ловец                 | kandˈidɐtˈɤɫˈovet͡sˈɤ
кандидат-любовник              | kandˈidɐtˈɤlˈubovnˈik
кандидат-магистър              | kandˈidɐtˈɤmˈaɡistˈɤr
кандидат-майстор               | kandˈidɐtˈɤmɐjstˈor
кандидат-майсторче             | kandˈidɐtˈɤmajstˈort͡ʃe
кандидат-матрос                | kandˈidɐtˈɤmˈatrosˈɤ
кандидат-медик                 | kandˈidɐtˈɤmˈedikˈɤ
кандидат-милионер              | kandˈidɐtˈɤmiliˈonerˈɤ
кандидат-милионерче            | kandˈidɐtˈɤmilionˈert͡ʃe
кандидат-министър              | kandˈidɐtˈɤmˈinistˈɤr
кандидат-младоженец            | kandˈidɐtˈɤmɫadˈoʒenˈet͡s
кандидат-монарх                | kandˈidɐtˈɤmˈonɐrɤxˈɤ
кандидат-наемател              | kandˈidɐtˈɤnaˈemɐtˈeɫ
кандидат-наемник               | kandˈidɐtˈɤnˈaemnˈik
кандидат-невеста               | kandˈidɐtˈɤnˈevestˈa
кандидат-новодомец             | kandˈidɐtˈɤnovˈodomˈet͡s
кандидат-обирджия              | kandˈidɐtˈɤobird͡ʒˈijɐ
кандидат-общинар               | kandˈidɐtˈɤopʃt͡ʃinˈar
кандидат-осиновител            | kandˈidɐtˈɤosinˈovitˈeɫ
кандидат-офицер                | kandˈidɐtˈɤofˈit͡serˈɤ
кандидат-офицерче              | kandˈidɐtˈɤofit͡sˈert͡ʃe
кандидат-партньор              | kandˈidɐtˈɤpˈartɲorˈɤ
кандидат-партньорче            | kandˈidɐtˈɤpartɲˈort͡ʃe
кандидат-пациент               | kandˈidɐtˈɤpat͡sˈienɤtˈɤ
кандидат-пациентче             | kandˈidɐtˈɤpɐt͡siˈentt͡ʃe
кандидат-певица                | kandˈidɐtˈɤpevˈit͡sɐ
кандидат-пенсионер             | kandˈidɐtˈɤpensiˈonerˈɤ
кандидат-пенсионерче           | kandˈidɐtˈɤpensionˈert͡ʃe
кандидат-пилот                 | kandˈidɐtˈɤpˈiɫotˈɤ
кандидат-пилотче               | kandˈidɐtˈɤpiɫˈott͡ʃe
кандидат-писател               | kandˈidɐtˈɤpˈisɐtˈeɫ
кандидат-подофицер             | kandˈidɐtˈɤpodofˈit͡ser
кандидат-полицай               | kandˈidɐtˈɤpolˈit͡sɐi
кандидат-посланик              | kandˈidɐtˈɤpˈosɫɐnˈik
кандидат-послушник             | kandˈidɐtˈɤpˈosɫuʃnˈik
кандидат-предприемач           | kandˈidɐtˈɤpretpriˈemɐt͡ʃˈɤ
кандидат-президент             | kandˈidɐtˈɤprezˈidenɤtˈɤ
кандидат-президентка           | kandˈidɐtˈɤprezidˈentkɐ
кандидат-президентче           | kandˈidɐtˈɤprezidˈentt͡ʃe
кандидат-премиер               | kandˈidɐtˈɤpremˈierˈɤ
кандидат-премиерче             | kandˈidɐtˈɤpremiˈert͡ʃe
кандидат-престолонаследник     | kandˈidɐtˈɤprestoɫonˈaslednˈik
кандидат-приватизатор          | kandˈidɐtˈɤprivɐtizˈator
кандидат-приватизаторче        | kandˈidɐtˈɤprivɐtizatˈort͡ʃe
кандидат-продавач              | kandˈidɐtˈɤprodˈavɐt͡ʃˈɤ
кандидат-първокласник          | kandˈidɐtˈɤpɤrvˈokɫɐsnˈik
кандидат-първолак              | kandˈidɐtˈɤpɤrvoɫˈak
кандидат-пътник                | kandˈidɐtˈɤpˈɤtnˈik
кандидат-работник              | kandˈidɐtˈɤrˈabotnˈik
кандидат-редник                | kandˈidɐtˈɤrˈednˈik
кандидат-репортер              | kandˈidɐtˈɤrepˈorterˈɤ
кандидат-родител               | kandˈidɐtˈɤrˈoditˈeɫ
кандидат-самоубиец             | kandˈidɐtˈɤsɐmoˈubiˈet͡s
кандидат-сватбар               | kandˈidɐtˈɤsvˈadbɐrˈɤ
кандидат-свещеник              | kandˈidɐtˈɤsvˈeʃt͡ʃenˈik
кандидат-скиор                 | kandˈidɐtˈɤskˈiorˈɤ
кандидат-скиорче               | kandˈidɐtˈɤskiˈort͡ʃe
кандидат-сладкар               | kandˈidɐtˈɤsɫˈatkɐrˈɤ
кандидат-снаха                 | kandˈidɐtˈɤsnˈaxɐ
кандидат-собственик            | kandˈidɐtˈɤsˈobˈɤstvˈenik
кандидат-спасител              | kandˈidɐtˈɤspˈasitˈeɫ
кандидат-спонсор               | kandˈidɐtˈɤspˈonsˈor
кандидат-спонсорче             | kandˈidɐtˈɤsponsˈort͡ʃe
кандидат-стажант               | kandˈidɐtˈɤstˈaʒɐnɤtˈɤ
кандидат-стажантче             | kandˈidɐtˈɤstaʒˈantt͡ʃe
кандидат-студент               | kandˈidɐtˈɤstˈudenɤtˈɤ
кандидат-студент               | kɐndiˈdat-stoˈdɛnt
кандидат-студентка             | kandˈidɐtˈɤstudˈentkɐ
кандидат-студентче             | kandˈidɐtˈɤstudˈentt͡ʃe
кандидат-счетоводител          | kandˈidɐtˈɤst͡ʃetovˈoditˈeɫ
кандидат-съпруг                | kandˈidɐtˈɤsˈɤpruk
кандидат-талант                | kandˈidɐtˈɤtˈaɫɐnɤtˈɤ
кандидат-татко                 | kandˈidɐtˈɤtˈatko
кандидат-треньор               | kandˈidɐtˈɤtrˈeɲorˈɤ
кандидат-треньорче             | kandˈidɐtˈɤtreɲˈort͡ʃe
кандидат-турист                | kandˈidɐtˈɤtˈuristotˈinki
кандидат-туристче              | kandˈidɐtˈɤturˈistt͡ʃe
кандидат-убиец                 | kandˈidɐtˈɤˈubiˈet͡s
кандидат-управител             | kandˈidɐtˈɤˈuprɐvˈiteɫ
кандидат-участник              | kandˈidɐtˈɤˈut͡ʃɐstnˈik
кандидат-ученик                | kandˈidɐtˈɤut͡ʃˈenikˈɤ
кандидат-хаджия                | kandˈidɐtˈɤxˈad͡ʒijˈa
кандидат-чиновник              | kandˈidɐtˈɤt͡ʃˈinovnˈik
кандидат-член                  | kandˈidɐtˈɤt͡ʃlˈenˈɤ
кандидат-член                  | kɐndiˈdat-t͡ʃˈlɛn
кандидат-членка                | kandˈidɐtˈɤt͡ʃlˈenkˈa
кандидат-шеф                   | kandˈidɐtˈɤʃˈef
кандидат-шлагер                | kandˈidɐtˈɤʃɫˈaɡˈer
кандидат-шофьор                | kandˈidɐtˈɤʃˈofjorˈɤ
кандидат-шофьорче              | kandˈidɐtˈɤʃofjˈort͡ʃe
кандидат-юрист                 | kandˈidɐtˈɤjurˈist
кандидат-юристче               | kandˈidɐtˈɤjurˈistt͡ʃe
кантатно-ораториален           | kantˈatnoorɐtoriˈalen
кану-каяк                      | kˈanukˈajɐkˈɤ
капитан-генерал                | kapˈitɐnˈɤɡenˈerɐlˈɤ
капитан-генералче              | kapˈitɐnˈɤɡenerˈaɫt͡ʃe
капитан-лейтенант              | kapˈitɐnˈɤlˈejtˈenɐnt
капитан-лейтенантче            | kapˈitɐnˈɤlejtenˈantt͡ʃe
капитан-регент                 | kapˈitɐnˈɤrˈeɡenɤtˈɤ
капитан-регентче               | kapˈitɐnˈɤreɡˈentt͡ʃe
капсул-детонатор               | kˈapsuɫdetˈonɐtˈor
капсул-детонаторче             | kˈapsuɫdetonatˈort͡ʃe
карагьоз-перде                 | karˈaɡjozˈɤpˈerde
касиер-счетоводител            | kasˈierˈɤst͡ʃetovˈoditˈeɫ
кафе-аперитив                  | kˈafeɐperˈitivˈɤ
кафе-аперитивче                | kˈafeɐperitˈift͡ʃe
кафе-бар                       | kˈafebˈarˈɤ
кафе-ресторант                 | kˈaferestˈorɐnɤtˈɤ
кафе-ресторантче               | kˈaferestorˈantt͡ʃe
кафе-сладкарница               | kˈafesɫˈatkɐrnˈit͡sɐ
кафяво-бял                     | kˈafjɐvˈobjˈalˈɤ
кафяво-виолетов                | kˈafjɐvˈoviˈoletˈof
кафяво-жълт                    | kˈafjɐvˈoʒˈɤlɤtˈɤ
кафяво-зелен                   | kˈafjɐvˈozˈelenˈɤ
кафяво-зеленикав               | kˈafjɐvˈozelˈenikˈaf
кафяво-сив                     | kˈafjɐvˈosˈif
кафяво-син                     | kˈafjɐvˈosˈin
кафяво-сребрист                | kˈafjɐvˈosrˈebristotˈinki
кафяво-червен                  | kˈafjɐvˈot͡ʃˈervenˈɤ
кафяво-червеникав              | kˈafjɐvˈot͡ʃervˈenikˈaf
кафяво-черен                   | kˈafjɐvˈot͡ʃerˈen
кей-поп                        | ˈkɛj-pɔp
кестеняво-жълт                 | kestˈeɲɐvˈoʒˈɤlɤtˈɤ
кино-видеоклуб                 | kˈinˈovideˈokɫubˈɤ
кино-фотолабораторийка         | kˈinofotoɫɐborɐtorˈijkɐ
кино-фотолаборатория           | kˈinofotoɫɐborɐtorˈijɐ
кино-фотоматериал              | kˈinˈofotomɐterˈiɐlˈɤ
кино-фотоматериалче            | kˈinofotomɐteriˈaɫt͡ʃe
кисело-горчив                  | kˈisˈeɫoɡˈort͡ʃivˈɤ
кисело-сладникав               | kˈisˈeɫosɫˈadnikˈaf
кисело-сладък                  | kˈisˈeɫosɫˈadˈɤk
кисело-солен                   | kˈisˈeɫosˈolenˈɤ
кисело-тръпчив                 | kˈisˈeɫotrˈɤpt͡ʃivˈɤ
китайско-американски           | kˈitɐjskˈoɐmerˈikɐnskˈi
китайско-тибетски              | kˈitɐjskˈotˈibet͡skˈi
китайско-японски               | kˈitɐjskˈojˈaponskˈi
клавишно-струнен               | kɫavˈiʃnostrˈunˈen
клуб-ресторант                 | kɫˈubrestˈorɐnɤtˈɤ
клуб-ресторантче               | kɫˈubrestorˈantt͡ʃe
ко-ко                          | kˈokˈo
кога-годе                      | kˈoɡaɡˈodˈe
кожно-венеричен                | kˈoʒnˈovenerˈit͡ʃen
кожно-венерически              | kˈoʒnˈovenˈerit͡ʃˈeski
кой-годе                       | kˈojɡˈodˈe
кока-кола                      | kˈokˈakˈoɫˈa
коледно-новогодишен            | kˈolˈednonovoɡˈodiʃˈen
колко-годе                     | kˈoɫkˈoɡˈodˈe
командно-административен       | kˈomɐndnˈoɐdministrˈativˈen
командно-диспечерски           | kˈomɐndnˈodˈispet͡ʃˈerski
командно-наблюдателен          | kˈomɐndnˈonablˈudɐtˈelen
командно-щабен                 | kˈomɐndnˈoʃt͡ʃˈabˈen
комично-романтичен             | kˈomit͡ʃnˈoromˈantit͡ʃˈen
комунално-битов                | komˈunɐɫnˈobˈitˈof
комунално-жилищен              | komˈunɐɫnˈoʒˈilˈiʃt͡ʃen
комуникационно-информационен   | komunikat͡sˈionnˈoinformat͡sˈionˈen
консервационно-реставрационен  | konservɐt͡siˈonnorestɐvrɐt͡siˈonen
континентално-средиземноморски | kontinˈentɐɫnˈosredizemnˈomorskˈi
контролно-диспечерски          | kˈontroɫnˈodˈispet͡ʃˈerski
контролно-измервателен         | kˈontroɫnˈoizmˈervɐtˈelen
контролно-изпитателен          | kˈontroɫnˈoispˈitɐtˈelen
контролно-изпитвателен         | kˈontroɫnˈoispitvˈatelen
контролно-проверочен           | kˈontroɫnˈoprovˈerot͡ʃˈen
контролно-пропускателен        | kˈontroɫnˈopropˈuskɐtˈelen
контролно-ревизионен           | kˈontroɫnˈorevizˈionˈen
контролно-спасителен           | kˈontroɫnˈospˈasitˈelen
контролно-технически           | kˈontroɫnˈotˈexnit͡ʃˈeski
косовско-македонски            | kosˈofskomakˈedonskˈi
косовско-моравски              | kosˈofskomˈorɐfskˈi
костно-мускулен                | kˈostnˈomuskˈulen
криминално-любовен             | krimˈinɐɫnˈolˈubovˈen
критско-микенски               | krˈit͡skˈomikˈenski
кръц-кръц                      | krˈɤt͡sˈɤkrˈɤt͡sˈɤ
ку-клукс-клан                  | kˈukɫˈukskɤlˈɤˈan
ку-клукс-кланче                | kˈukɫˈukskɫˈant͡ʃe
ку-ку                          | kˈukˈu
ку-треска                      | kˈutrˈeskɐ
кубинско-американски           | kˈubinskˈoɐmerˈikɐnskˈi
културно-битов                 | kˈuɫturnˈobˈitˈof
културно-духовен               | kˈuɫturnˈodˈuxovˈen
културно-информационен         | kˈuɫturnˈoinformat͡sˈionˈen
културно-исторически           | kˈuɫturnˈoistˈorit͡ʃˈeski
културно-масов                 | kˈuɫturnˈomɐsˈof
културно-политически           | kˈuɫturnˈopolˈitit͡ʃˈeski
културно-просветен             | kˈuɫturnˈoprosvˈetenˈɤ
културно-развлекателен         | kˈuɫturnˈorazvlˈekɐtˈelen
културно-религиозен            | kˈuɫturnˈoreliɡˈiozˈen
културно-технически            | kˈuɫturnˈotˈexnit͡ʃˈeski
културно-туристически          | kˈuɫturnˈoturˈistit͡ʃˈeski
купесто-дъждовен               | kupˈestodˈɤʒdovˈen
курортно-лечебен               | kˈurortnˈolˈet͡ʃebˈen
курортно-туристически          | kˈurortnˈoturˈistit͡ʃˈeski
кушет-вагон                    | kˈuʃetvˈaɡonˈɤ
кушет-вагонче                  | kˈuʃetvaɡˈont͡ʃe
къде-годе                      | kˈɤdeɡˈodˈe
лагер-сбор                     | ɫˈaɡˈerzbˈorˈɤ
латинско-японски               | ɫˈatinskˈojˈaponskˈi
лека-полека                    | lˈekˈapˈolekˈa
лечебно-възстановителен        | lˈet͡ʃebnˈovɤsstanˈovitˈelen
лечебно-оздравителен           | lˈet͡ʃebnˈoozdrˈavitˈelen
лечебно-профилактичен          | lˈet͡ʃebnˈoprofiɫˈaktit͡ʃˈen
либерално-центристки           | libˈerɐɫnˈot͡sentrˈistki
либийско-американски           | lˈibijskˈoɐmerˈikɐnskˈi
лилаво-бял                     | lˈiɫɐvˈobjˈalˈɤ
лилаво-жълт                    | lˈiɫɐvˈoʒˈɤlɤtˈɤ
лилаво-жълтеникав              | lˈiɫɐvˈoʒɤɫtˈenikˈaf
лилаво-кафяв                   | lˈiɫɐvˈokˈafjɐvˈɤ
лилаво-розов                   | lˈiɫɐvˈorˈozˈof
лилаво-сив                     | lˈiɫɐvˈosˈif
лилаво-син                     | lˈiɫɐvˈosˈin
лилаво-червен                  | lˈiɫɐvˈot͡ʃˈervenˈɤ
лилаво-черен                   | lˈiɫɐvˈot͡ʃerˈen
лимонено-ванилов               | lˈimonˈenovanˈiɫof
лирико-драматичен              | lirˈikodramˈatit͡ʃˈen
лирико-епичен                  | lirˈikoˈepit͡ʃˈen
лирико-епически                | lirˈikoepˈit͡ʃeski
лирично-романтичен             | lˈirit͡ʃnˈoromˈantit͡ʃˈen
лицево-челюстен                | lit͡sˈevot͡ʃelˈusten
лицево-черепен                 | lit͡sˈevot͡ʃerˈepen
ловно-рибарски                 | ɫˈovnˈorˈibɐrskˈi
лозаро-винарски                | ɫozˈarovˈinɐrskˈi
лозаро-винарство               | ɫozˈarovˈinɐrˈɤstvˈo
лорд-мер                       | ɫˈordmˈer
лунно-слънчев                  | ɫˈunnˈosɫˈɤnt͡ʃˈef
любовно-емоционален            | lˈubovnˈoemot͡siˈonɐlˈen
магистър-фармацевт             | mˈaɡistˈɤrfarmˈat͡sevɤtˈɤ
магистър-фармацевтче           | mˈaɡistˈɤrfɐrmat͡sˈeftt͡ʃe
македоно-одрински              | mɐkedˈonoodrˈinski
македонско-български           | makˈedonskˈobɤɫɡˈarski
македонско-косовски            | makˈedonskˈokosˈofski
македонско-югославски          | makˈedonskˈojuɡosɫˈafski
малайско-полинезийски          | mˈaɫɐjskˈopolinˈezijskˈi
марксизъм-ленинизъм            | mˈarksizˈɤmleninˈizɤm
марксистко-ленински            | mˈarksistkˈolenˈinski
материално-имотен              | mɐterˈiɐɫnˈoˈimotˈen
материално-технически          | mɐterˈiɐɫnˈotˈexnit͡ʃˈeski
машинно-електротехнически      | mˈaʃinnˈoelektrotˈexnit͡ʃˈeski
машинно-тракторен              | mˈaʃinnˈotrˈaktˈoren
мвр-шеф                        | mɤvɤrˈɤʃˈef
медико-бактериологичен         | medˈikobɐkterioɫˈoɡit͡ʃˈen
медико-биологичен              | medˈikobioɫˈoɡit͡ʃˈen
медико-генетичен               | medˈikoɡenˈetit͡ʃˈen
медико-диагностичен            | medˈikodiaɡnˈostit͡ʃˈen
медико-козметичен              | medˈikokozmˈetit͡ʃˈen
медико-педагогически           | medˈikopedaɡˈoɡit͡ʃˈeski
медико-санитарен               | medˈikosanˈitɐrˈen
медико-социален                | medˈikosot͡sˈiɐlˈen
медико-съдебен                 | medˈikosˈɤdebˈen
медико-фармацевтичен           | medˈikofɐrmat͡sˈeftit͡ʃˈen
медно-никелов                  | mˈednˈonikˈeɫof
